stimulus,MOS,CI,subjID_1,subjID_2,subjID_3,subjID_4,subjID_5,subjID_6,subjID_7,subjID_8,subjID_9,subjID_10,subjID_11,subjID_12,subjID_13,subjID_14,subjID_15,subjID_16,subjID_17,subjID_18,subjID_19,subjID_20,subjID_21
bunny,4.81,0.18,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5
bunny_D01_L01,3.95,0.42,4,3,5,4,4,5,3,4,2,2,4,4,4,5,4,5,3,5,5,4,4
bunny_D01_L02,3.48,0.34,4,3,3,2,3,3,3,4,3,2,4,5,4,4,4,4,4,4,3,4,3
bunny_D01_L03,2.43,0.4,3,3,2,2,3,1,3,3,3,1,2,4,3,4,1,2,2,2,2,3,2
bunny_D01_L04,1.71,0.38,2,3,1,1,2,1,2,3,2,1,1,3,3,3,1,1,1,1,1,2,1
cube,4.81,0.18,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4
cube_D01_L01,4.52,0.31,5,3,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,3,5
cube_D01_L02,4.43,0.31,4,4,4,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,3,3,4
cube_D01_L03,3.29,0.46,4,4,2,3,2,2,3,4,3,3,2,4,5,4,4,5,4,4,2,2,3
cube_D01_L04,2.19,0.47,1,4,1,1,2,1,2,4,1,2,2,4,3,3,1,2,2,3,2,3,2
dragon,4.57,0.31,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,3,4,3
dragon_D01_L01,2.95,0.44,2,4,3,2,4,3,2,2,1,2,3,3,4,4,3,5,4,3,3,3,2
dragon_D01_L02,2.71,0.46,2,2,1,2,3,3,2,4,2,1,3,3,4,4,1,4,3,4,3,3,3
dragon_D01_L03,1.81,0.4,2,2,1,1,3,1,2,3,2,2,1,2,4,3,1,2,1,1,1,1,2
dragon_D01_L04,1.14,0.16,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1
sphere,4.9,0.14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5
sphere_D01_L01,4.71,0.21,5,5,5,4,5,5,4,5,4,5,5,5,4,5,4,5,5,5,4,5,5
sphere_D01_L02,3.48,0.4,4,4,4,4,4,3,1,4,2,3,4,4,4,4,2,4,3,3,4,4,4
sphere_D01_L03,2.67,0.46,4,3,3,2,3,2,1,3,1,1,3,3,4,4,1,4,3,3,2,3,3
sphere_D01_L04,1.81,0.4,1,2,2,1,2,1,1,2,1,1,2,3,3,3,1,4,1,2,1,2,2
vase,4.71,0.29,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,3,5,5,5,4
vase_D01_L01,3.57,0.37,4,3,4,5,5,2,3,3,3,4,4,4,4,5,3,3,3,3,3,4,3
vase_D01_L02,3.19,0.4,3,4,5,2,4,4,2,3,3,2,2,3,3,4,3,3,4,4,4,3,2
vase_D01_L03,2.29,0.29,1,3,2,2,2,3,2,3,2,2,1,3,3,3,2,2,3,2,2,3,2
vase_D01_L04,1.71,0.38,3,2,2,1,1,1,1,3,1,1,2,3,3,3,1,1,1,1,1,2,2
