stimulus,MOS,CI,subjID_1,subjID_2,subjID_3,subjID_4,subjID_5,subjID_6,subjID_7,subjID_8,subjID_9,subjID_10,subjID_11,subjID_12,subjID_13,subjID_14,subjID_15,subjID_16,subjID_17,subjID_18,subjID_19,subjID_20
bunny,4.9,0.14,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5
bunny_D02_L01,4.7,0.22,5,4,5,5,4,4,5,5,5,4,5,5,5,5,4,5,5,4,5,5
bunny_D02_L02,3.45,0.32,3,4,4,4,3,3,3,4,3,3,5,4,2,4,3,4,3,3,3,4
bunny_D02_L03,2.05,0.36,2,3,1,2,2,1,2,2,3,2,3,3,1,1,2,1,3,2,3,2
bunny_D02_L04,1.4,0.28,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,1,3
cube,4.75,0.43,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5
cube_D02_L01,4.7,0.27,5,4,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,4,4,5
cube_D02_L02,3.1,0.37,3,3,3,4,2,2,3,3,3,3,4,4,1,3,3,4,3,3,4,4
cube_D02_L03,1.75,0.26,1,2,2,2,2,1,2,2,1,2,3,2,1,2,2,2,2,1,1,2
cube_D02_L04,1.15,0.17,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1
dragon,4.5,0.44,4,4,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4,5,1,5
dragon_D02_L01,4.55,0.36,5,5,5,5,4,5,4,5,5,5,4,5,5,4,2,5,4,5,4,5
dragon_D02_L02,3.35,0.27,3,3,3,3,3,4,2,3,3,4,4,4,4,4,3,3,3,3,4,4
dragon_D02_L03,1.55,0.32,1,2,1,1,2,1,2,1,2,1,1,3,2,1,1,1,2,1,2,3
dragon_D02_L04,1.05,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
sphere,4.7,0.34,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,2,5
sphere_D02_L01,4.65,0.23,5,4,5,5,4,4,5,5,5,5,5,5,5,4,4,5,5,4,4,5
sphere_D02_L02,3.05,0.32,3,3,3,4,3,3,3,4,3,3,3,3,1,4,2,3,4,3,3,3
sphere_D02_L03,1.7,0.34,2,2,2,3,1,1,2,2,1,2,3,1,1,1,2,3,2,1,1,1
sphere_D02_L04,1.1,0.14,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1
vase,4.8,0.19,5,4,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5
vase_D02_L01,4.6,0.24,5,4,4,5,4,5,4,5,4,5,5,5,5,5,4,5,5,4,4,5
vase_D02_L02,3.2,0.24,3,3,3,4,4,3,3,3,4,4,3,3,3,3,2,4,3,3,3,3
vase_D02_L03,1.75,0.34,1,1,2,2,2,1,2,2,2,1,2,4,1,2,1,2,2,1,2,2
vase_D02_L04,1.2,0.19,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1
